year,sex,age,mortality_rate
1953,Male,51,0.01779916
1953,Female,51,0.01434721
1953,Male,52,0.01871406
1953,Female,52,0.01519162
1953,Male,53,0.01960747
1953,Female,53,0.01599695
1953,Male,54,0.02049378
1953,Female,54,0.01677996
1953,Male,55,0.02144555
1953,Female,55,0.01761609
1953,Male,56,0.02255326
1953,Female,56,0.01860486
1953,Male,57,0.02390233
1953,Female,57,0.01987102
1953,Male,58,0.0255717
1953,Female,58,0.02149862
1953,Male,59,0.02757037
1953,Female,59,0.02352204
1953,Male,60,0.02987312
1953,Female,60,0.02590991
1953,Male,61,0.03239558
1953,Female,61,0.02853415
1953,Male,62,0.03502387
1953,Female,62,0.03125882
1953,Male,63,0.03770624
1953,Female,63,0.03396335
1953,Male,64,0.04043062
1953,Female,64,0.03662091
1953,Male,65,0.04330641
1953,Female,65,0.03935204
1953,Male,66,0.04651277
1953,Female,66,0.04234424
1953,Male,67,0.05022823
1953,Female,67,0.04585828
1953,Male,68,0.05463924
1953,Female,68,0.05010691
1953,Male,69,0.05981293
1953,Female,69,0.05519269
1953,Male,70,0.06573249
1953,Female,70,0.06111183
1953,Male,71,0.07228304
1953,Female,71,0.06766619
1953,Male,72,0.07926067
1953,Female,72,0.07461378
1953,Male,73,0.08654058
1953,Female,73,0.08173126
1953,Male,74,0.09406802
1953,Female,74,0.08889177
1953,Male,75,0.1019524
1953,Female,75,0.09620214
1953,Male,76,0.11045223
1953,Female,76,0.10386763
1953,Male,77,0.11983103
1953,Female,77,0.11220112
1953,Male,78,0.13036013
1953,Female,78,0.12149075
1953,Male,79,0.14218321
1953,Female,79,0.1318796
1953,Male,80,0.15529855
1953,Female,80,0.14341837
1953,Male,81,0.16959548
1953,Female,81,0.15597094
1953,Male,82,0.18483266
1953,Female,82,0.16934367
1953,Male,83,0.20075828
1953,Female,83,0.18333661
1953,Male,84,0.21712986
1953,Female,84,0.19775588
1953,Male,85,0.23375093
1953,Female,85,0.21249921
1953,Male,86,0.2505138
1953,Female,86,0.22751854
1953,Male,87,0.26743313
1953,Female,87,0.24288576
1953,Male,88,0.28470183
1953,Female,88,0.25875762
1953,Male,89,0.3026583
1953,Female,89,0.27542036
1953,Male,90,0.32182022
1953,Female,90,0.29321567
1953,Male,91,0.34266948
1953,Female,91,0.31249126
1953,Male,92,0.36554388
1953,Female,92,0.33352502
1953,Male,93,0.39055042
1953,Female,93,0.3562834
1953,Male,94,0.4173293
1953,Female,94,0.38054592
1953,Male,95,0.44529143
1953,Female,95,0.40575136
1953,Male,96,0.4735891
1953,Female,96,0.43123548
1953,Male,97,0.50142081
1953,Female,97,0.45650141
1953,Male,98,0.52836111
1953,Female,98,0.48117628
1953,Male,99,0.55416909
1953,Female,99,0.50532774
1953,Male,100,0.60361097
1953,Female,100,0.55776175
1954,Male,0,0.20713703
1954,Female,0,0.16799032
